Event,CircuitName,Country,TrackType,LapSpeedClass,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,AirTemp,TrackTemp,WindSpeed,Altitude_m,DRSZones
70th Anniversary Grand Prix,Silverstone,UK,Permanent,Fast,313.0,271.0,251.0,328.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,26.4,43.3,3.7,140.0,2.0
Abu Dhabi Grand Prix,Yas Marina,UAE,Permanent,Medium,288.0,319.0,221.0,322.0,5333.449274375974,21.0,0.0039374144047628,246.1281100296099,25.7,29.9,1.5,10.0,2.0
Australian Grand Prix,Albert Park,Australia,Street,Medium,280.0,295.0,303.0,316.0,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,18.8,29.0,1.2,31.0,2.0
Austrian Grand Prix,Red Bull Ring,Austria,Permanent,Fast,316.0,245.0,285.0,314.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,25.9,48.4,1.1,700.0,2.0
Azerbaijan Grand Prix,Baku City,Azerbaijan,Street,Fast,217.0,229.0,331.0,312.0,4978.250124294395,20.0,0.0040174759203837,246.1587014542076,24.5,36.4,0.8,28.0,2.0
Bahrain Grand Prix,Bahrain International,Bahrain,Permanent,Medium,242.0,270.0,288.0,317.0,5006.652008539475,15.0,0.0029960140977275,305.8343408970475,24.3,27.8,1.0,35.0,2.0
Belgian Grand Prix,Spa-Francorchamps,Belgium,Permanent,Fast,314.0,185.0,214.0,303.0,6775.131165030146,19.0,0.0028043737511782,354.919340043483,17.9,22.3,1.1,300.0,2.0
Brazilian Grand Prix,Interlagos,Brazil,Permanent,Medium,324.0,267.0,323.0,325.0,4309.0,15.0,0.0034810860988628,287.26666666666665,20.5,35.1,1.5,800.0,2.0
British Grand Prix,Silverstone,UK,Permanent,Fast,301.0,255.0,248.0,299.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,19.0,21.8,2.4,140.0,2.0
Canadian Grand Prix,Gilles Villeneuve,Canada,Permanent,Medium,232.5,270.0,280.0,300.0,3927.405044134453,14.0,0.0035646947138566,283.5726195795773,16.7,18.8,2.05,22.0,2.0
Chinese Grand Prix,Shanghai International,China,Permanent,Fast,279.0,274.0,267.0,326.0,5161.238099433068,16.0,0.0031000313668453,305.25591463645173,21.9,34.2,1.7,5.0,3.0
Dutch Grand Prix,Zandvoort,Netherlands,Permanent,Medium,276.0,253.0,272.0,311.0,4259.0,14.0,0.0032871566095327,304.2142857142857,18.8,28.9,2.2,2.0,2.0
Eifel Grand Prix,Hockenheimring,Germany,Permanent,Medium,268.0,238.0,257.0,311.5,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,9.2,17.9,2.6,100.0,2.0
Emilia Romagna Grand Prix,Imola,Italy,Permanent,Medium,276.0,253.0,272.0,311.0,4909.0,19.0,0.003870442045223,258.3684210526316,14.4,25.6,1.6,37.0,1.0
French Grand Prix,Paul Ricard,France,Permanent,Fast,118.0,280.0,300.0,328.0,5247.8799638259,15.0,0.0028582970844219,343.1152226897838,29.1,54.0,1.6,40.0,3.0
German Grand Prix,Hockenheimring,Germany,Permanent,Medium,217.0,265.0,270.0,323.0,4317.957322804004,17.0,0.0039370467860392,249.86215906413912,28.2,43.7,1.1,100.0,2.0
Hungarian Grand Prix,Hungaroring,Hungary,Permanent,Slow,280.0,250.0,257.0,302.0,4122.248439558155,14.0,0.0033962048152295,230.29459504961537,24.1,31.0,1.4,150.0,1.0
Italian Grand Prix,Monza,Italy,Permanent,Fast,320.5,333.0,311.0,339.0,5261.551646812222,11.0,0.0020906380357711,436.9389384616605,27.9,40.4,1.1,120.0,2.0
Japanese Grand Prix,Suzuka,Japan,Permanent,Fast,280.0,302.0,265.0,301.0,5650.500064177964,18.0,0.0031855587639248,289.1514270568326,20.1,27.7,3.2,50.0,2.0
