meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1254,9689,31,1,,,19.465,37.924,257.0,295.0,True,,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2051, 2049, 2049]","[2051, 2051, 2051, 2051, 2051, 2051, 2051, 2051]",162.0
1254,9689,87,1,2025-03-15T05:00:11.094000+00:00,,33.462,,98.0,159.0,True,,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]",[2049],156.0
1254,9689,63,1,2025-03-15T05:00:20.317000+00:00,,19.626,39.659,265.0,307.0,True,,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2051, 2051, 2051]",104.0
1254,9689,7,1,2025-03-15T05:00:28.784000+00:00,61.845,19.9,44.391,257.0,305.0,True,126.136,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",112.0
1254,9689,27,1,2025-03-15T05:00:38.159000+00:00,53.65,20.891,41.731,251.0,284.0,True,116.272,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",123.0
1254,9689,55,1,2025-03-15T05:00:39.954000+00:00,57.903,19.445,44.438,265.0,282.0,True,121.786,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",53.0
1254,9689,5,1,2025-03-15T05:00:48.258000+00:00,58.144,19.397,41.586,249.0,300.0,True,119.127,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",132.0
1254,9689,14,1,2025-03-15T05:01:01.593000+00:00,60.576,18.736,41.029,264.0,310.0,True,120.341,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051]",135.0
1254,9689,30,1,2025-03-15T05:01:18.897000+00:00,61.606,23.679,39.136,243.0,113.0,True,124.421,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",153.0
1254,9689,23,1,2025-03-15T05:01:29.919000+00:00,51.597,18.751,40.951,274.0,301.0,True,111.299,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",173.0
1254,9689,18,1,2025-03-15T05:01:38.804000+00:00,49.801,18.997,38.873,260.0,314.0,True,107.671,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",147.0
1254,9689,31,2,2025-03-15T05:01:41.035000+00:00,27.066,17.337,33.114,288.0,323.0,False,77.517,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049]","[2051, 2049, 2051, 2051, 2051, 2051, 2049, 2049]",315.0
1254,9689,10,1,2025-03-15T05:01:53.049000+00:00,49.586,20.258,38.03,246.0,302.0,True,107.874,"[2064, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",169.0
