dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,1,False,"[85.007, 84.483, 83.778]","[0.0, 0.102, 0.0]",1221,19,1,9215
False,False,63,False,"[85.334, 84.827, 84.219]","[0.327, 0.446, 0.441]",1221,21,2,9215
False,False,44,False,"[86.076, 84.381, 84.305]","[1.069, 0.0, 0.527]",1221,20,3,9215
False,False,14,False,"[85.223, 85.241, 84.369]","[0.216, 0.86, 0.591]",1221,21,4,9215
False,False,16,False,"[85.452, 85.079, 84.424]","[0.445, 0.698, 0.646]",1221,26,5,9215
False,False,81,False,"[85.266, 84.724, 84.54]","[0.259, 0.343, 0.762]",1221,23,6,9215
False,False,10,False,"[85.566, 84.918, 84.553]","[0.559, 0.537, 0.775]",1221,23,7,9215
False,False,31,False,"[85.711, 84.928, 84.763]","[0.704, 0.547, 0.985]",1221,24,8,9215
False,False,77,False,"[86.038, 85.297, 85.058]","[1.031, 0.916, 1.28]",1221,21,9,9215
True,False,4,False,"[85.131, 84.685, None]","[0.124, 0.304, None]",1221,21,10,9215
False,False,22,False,"[86.058, 85.301, None]","[1.051, 0.92, None]",1221,16,11,9215
False,False,55,False,"[85.808, 85.328, None]","[0.801, 0.947, None]",1221,18,12,9215
False,False,11,False,"[85.991, 85.462, None]","[0.984, 1.081, None]",1221,16,13,9215
False,False,23,False,"[86.118, 85.707, None]","[1.111, 1.326, None]",1221,15,14,9215
False,False,27,False,"[85.904, 85.783, None]","[0.897, 1.402, None]",1221,12,15,9215
False,False,2,False,"[86.21, None, None]","[1.203, None, None]",1221,10,16,9215
False,False,18,False,"[86.345, None, None]","[1.338, None, None]",1221,10,17,9215
False,False,40,False,"[86.635, None, None]","[1.628, None, None]",1221,10,18,9215
False,False,20,False,"[87.046, None, None]","[2.039, None, None]",1221,9,19,9215
False,False,24,False,"[87.432, None, None]","[2.425, None, None]",1221,9,20,9215
