dnf,dns,driver_number,dsq,duration,gap_to_leader,meeting_key,number_of_laps,position,session_key
False,False,81,False,"[81.286, 81.005, 80.055]","[0.114, 0.049, 0.0]",1275,18,1,9841
False,False,63,False,"[81.432, 81.136, 80.087]","[0.26, 0.18, 0.032]",1275,19,2,9841
False,False,4,False,"[81.398, 80.956, 80.285]","[0.226, 0.0, 0.23]",1275,18,3,9841
False,False,14,False,"[81.276, 81.272, 80.45]","[0.104, 0.316, 0.395]",1275,18,4,9841
False,False,22,False,"[81.458, 81.152, 80.519]","[0.286, 0.196, 0.464]",1275,20,5,9841
False,False,1,False,"[81.172, 81.036, 80.528]","[0.0, 0.08, 0.473]",1275,20,6,9841
False,False,12,False,"[81.555, 81.376, 80.532]","[0.383, 0.42, 0.477]",1275,18,7,9841
False,False,55,False,"[81.438, 81.172, 80.542]","[0.266, 0.216, 0.487]",1275,20,8,9841
False,False,16,False,"[81.636, 81.19, 80.622]","[0.464, 0.234, 0.567]",1275,20,9,9841
False,False,23,False,"[81.721, 81.212, 80.788]","[0.549, 0.256, 0.733]",1275,20,10,9841
False,False,6,False,"[81.399, 81.433, None]","[0.227, 0.477, None]",1275,14,11,9841
False,False,87,False,"[81.526, 81.494, None]","[0.354, 0.538, None]",1275,14,12,9841
False,False,5,False,"[81.623, 81.567, None]","[0.451, 0.611, None]",1275,13,13,9841
False,False,27,False,"[81.327, 81.631, None]","[0.155, 0.675, None]",1275,14,14,9841
False,False,31,False,"[81.773, 81.666, None]","[0.601, 0.71, None]",1275,14,15,9841
False,False,18,False,"[81.807, None, None]","[0.635, None, None]",1275,7,16,9841
False,False,30,False,"[81.851, None, None]","[0.679, None, None]",1275,6,17,9841
False,False,44,False,"[82.043, None, None]","[0.871, None, None]",1275,8,18,9841
False,False,10,False,"[82.112, None, None]","[0.94, None, None]",1275,8,19,9841
False,False,43,False,"[82.364, None, None]","[1.192, None, None]",1275,8,20,9841
