meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,sector_sum,avg_speed_est
1254,9689,31,2,2025-03-15T05:01:41.035000+00:00,27.066,17.337,33.114,288.0,323.0,0,77.517,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049]","[2051, 2049, 2051, 2051, 2051, 2051, 2049, 2049]",315.0,77.517,308.6666666666667
1254,9689,63,2,2025-03-15T05:02:03.487000+00:00,26.777,17.431,33.002,289.0,323.0,0,77.21,"[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2051, 2051]",322.0,77.21000000000001,311.3333333333333
1254,9689,7,2,2025-03-15T05:02:20.111000+00:00,26.74,17.282,32.977,288.0,324.0,0,76.999,"[2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",321.0,76.999,311.0
1254,9689,27,2,2025-03-15T05:02:28.119000+00:00,26.605,17.309,33.011,289.0,328.0,0,76.925,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2051]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",323.0,76.92500000000001,313.3333333333333
1254,9689,55,2,2025-03-15T05:02:36.443000+00:00,27.029,17.351,33.27,288.0,326.0,0,77.65,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2048]",323.0,77.65,312.3333333333333
1254,9689,5,2,2025-03-15T05:02:41.927000+00:00,30.492,23.848,54.675,206.0,223.0,0,109.015,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2049, 2064, 2064]",325.0,109.015,251.33333333333334
1254,9689,14,2,2025-03-15T05:02:49.459000+00:00,26.495,17.304,32.747,289.0,324.0,0,76.546,"[2049, 2051, 2051, 2051, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2051, 2048]",324.0,76.54599999999999,312.3333333333333
1254,9689,31,3,2025-03-15T05:02:58.626000+00:00,32.754,23.633,,134.0,195.0,0,211.562,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",271.0,,200.0
1254,9689,30,2,2025-03-15T05:03:04.703000+00:00,26.819,17.362,32.913,291.0,329.0,0,77.094,"[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2048]",327.0,77.094,315.6666666666667
1254,9689,23,2,2025-03-15T05:03:10.960000+00:00,26.756,17.281,32.926,289.0,327.0,0,76.963,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2051]",323.0,76.963,313.0
1254,9689,18,2,2025-03-15T05:03:18.056000+00:00,26.697,17.289,32.964,290.0,324.0,0,76.95,"[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2048]",325.0,76.95,313.0
1254,9689,63,3,2025-03-15T05:03:20.799000+00:00,35.312,21.941,,241.0,289.0,0,171.594,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064, 2064]",232.0,,254.0
