meeting_key,session_key,location,date_start,date_end,session_type,session_name,country_key,country_code,country_name,circuit_key,circuit_short_name,gmt_offset,year
1141,7768,Sakhir,2023-03-04T15:00:00+00:00,2023-03-04T16:00:00+00:00,Qualifying,Qualifying,36,BRN,Bahrain,63,Sakhir,03:00:00,2023
1142,7775,Jeddah,2023-03-18T17:00:00+00:00,2023-03-18T18:00:00+00:00,Qualifying,Qualifying,153,KSA,Saudi Arabia,149,Jeddah,03:00:00,2023
1143,7783,Melbourne,2023-04-01T05:00:00+00:00,2023-04-01T06:00:00+00:00,Qualifying,Qualifying,5,AUS,Australia,10,Melbourne,11:00:00,2023
1207,9064,Baku,2023-04-28T13:00:00+00:00,2023-04-28T14:00:00+00:00,Qualifying,Qualifying,30,AZE,Azerbaijan,144,Baku,04:00:00,2023
1208,9074,Miami,2023-05-06T20:00:00+00:00,2023-05-06T21:00:00+00:00,Qualifying,Qualifying,19,USA,United States,151,Miami,-04:00:00,2023
1210,9090,Monaco,2023-05-27T14:00:00+00:00,2023-05-27T15:00:00+00:00,Qualifying,Qualifying,114,MON,Monaco,22,Monte Carlo,02:00:00,2023
1211,9098,Barcelona,2023-06-03T14:00:00+00:00,2023-06-03T15:00:00+00:00,Qualifying,Qualifying,1,ESP,Spain,15,Catalunya,02:00:00,2023
1212,9106,Montréal,2023-06-17T20:00:00+00:00,2023-06-17T21:00:00+00:00,Qualifying,Qualifying,46,CAN,Canada,23,Montreal,-04:00:00,2023
1213,9112,Spielberg,2023-06-30T15:00:00+00:00,2023-06-30T16:00:00+00:00,Qualifying,Qualifying,17,AUT,Austria,19,Spielberg,02:00:00,2023
1214,9122,Silverstone,2023-07-08T14:00:00+00:00,2023-07-08T15:00:00+00:00,Qualifying,Qualifying,2,GBR,Great Britain,2,Silverstone,01:00:00,2023
1215,9129,Budapest,2023-07-22T14:00:00+00:00,2023-07-22T15:00:00+00:00,Qualifying,Qualifying,14,HUN,Hungary,4,Hungaroring,02:00:00,2023
1216,9135,Spa-Francorchamps,2023-07-28T15:00:00+00:00,2023-07-28T16:00:00+00:00,Qualifying,Qualifying,16,BEL,Belgium,7,Spa-Francorchamps,02:00:00,2023
1217,9145,Zandvoort,2023-08-26T13:00:00+00:00,2023-08-26T14:00:00+00:00,Qualifying,Qualifying,133,NED,Netherlands,55,Zandvoort,02:00:00,2023
1218,9153,Monza,2023-09-02T14:00:00+00:00,2023-09-02T15:00:00+00:00,Qualifying,Qualifying,13,ITA,Italy,39,Monza,02:00:00,2023
1219,9161,Marina Bay,2023-09-16T13:00:00+00:00,2023-09-16T14:00:00+00:00,Qualifying,Qualifying,157,SGP,Singapore,61,Singapore,08:00:00,2023
1220,9169,Suzuka,2023-09-23T06:00:00+00:00,2023-09-23T07:00:00+00:00,Qualifying,Qualifying,4,JPN,Japan,46,Suzuka,09:00:00,2023
1221,9215,Lusail,2023-10-06T17:00:00+00:00,2023-10-06T18:00:00+00:00,Qualifying,Qualifying,149,QAT,Qatar,150,Lusail,03:00:00,2023
1222,9207,Austin,2023-10-20T21:00:00+00:00,2023-10-20T22:00:00+00:00,Qualifying,Qualifying,19,USA,United States,9,Austin,-05:00:00,2023
1223,9177,Mexico City,2023-10-28T21:00:00+00:00,2023-10-28T22:00:00+00:00,Qualifying,Qualifying,8,MEX,Mexico,65,Mexico City,-06:00:00,2023
