iter	MAE
0	8.785649038
1	8.618704496
2	8.468387633
3	8.315771667
4	8.168743611
5	8.026202759
6	7.901404745
7	7.762336783
8	7.631445215
9	7.506551475
10	7.394575561
11	7.281749123
12	7.160274216
13	7.033168588
14	6.939701831
15	6.82521183
16	6.707171306
17	6.598290193
18	6.519494889
19	6.416514617
20	6.328055565
21	6.232373878
22	6.142658286
23	6.052503213
24	5.980731779
25	5.901598449
26	5.830943237
27	5.755649115
28	5.688837361
29	5.626060393
30	5.561903902
31	5.514286632
32	5.445134442
33	5.383118871
34	5.316506906
35	5.247070859
36	5.186636419
37	5.125908308
38	5.070117945
39	5.030694936
40	4.983584796
41	4.921753501
42	4.864619106
43	4.817541113
44	4.773405555
45	4.736559225
46	4.683633342
47	4.651968536
48	4.610088261
49	4.571992002
50	4.52909906
51	4.492788972
52	4.453919846
53	4.41948871
54	4.389626838
55	4.358845476
56	4.323962159
57	4.30007715
58	4.275731655
59	4.241397092
60	4.21652341
61	4.189860304
62	4.169569593
63	4.142526762
64	4.12052795
65	4.100165488
66	4.076537475
67	4.052925167
68	4.030440281
69	4.015648872
70	4.000932714
71	3.984607771
72	3.963025035
73	3.944706524
74	3.925881653
75	3.908543776
76	3.886980146
77	3.86697712
78	3.844189771
79	3.831435403
80	3.816432625
81	3.800444929
82	3.789713293
83	3.774666075
84	3.756042699
85	3.742607243
86	3.725696921
87	3.71371882
88	3.701318525
89	3.692192783
90	3.678212504
91	3.667890656
92	3.656792879
93	3.64802777
94	3.634477985
95	3.625499147
96	3.620724282
97	3.612944116
98	3.604240058
99	3.59544588
100	3.587065576
101	3.574612322
102	3.567244353
103	3.56176663
104	3.554446408
105	3.54764586
106	3.535905158
107	3.529245587
108	3.523891902
109	3.513962199
110	3.506293582
111	3.501171853
112	3.495985178
113	3.491212608
114	3.484200862
115	3.476381056
116	3.46788943
117	3.462631897
118	3.452604633
119	3.448664123
120	3.44079236
121	3.436741662
122	3.431425845
123	3.424853839
124	3.416802536
125	3.407719806
126	3.403236052
127	3.397093701
128	3.393479861
129	3.385728868
130	3.380693437
131	3.370085195
132	3.36500189
133	3.360321959
134	3.355137922
135	3.348903158
136	3.344665821
137	3.338319549
138	3.328058994
139	3.319340893
140	3.311542773
141	3.308201338
142	3.303003733
143	3.295010321
144	3.291592522
145	3.284396298
146	3.280026932
147	3.27261862
148	3.266851119
149	3.266510776
150	3.258474223
151	3.256351552
152	3.246340232
153	3.242403548
154	3.238202195
155	3.23648133
156	3.234759677
157	3.231563645
158	3.226841026
159	3.219136932
160	3.21678252
161	3.213298779
162	3.207162225
163	3.202084703
164	3.200802883
165	3.196982493
166	3.189479433
167	3.185141995
168	3.180704973
169	3.17616891
170	3.172773017
171	3.167454713
172	3.163809552
173	3.156451992
174	3.149290989
175	3.147758989
176	3.141475478
177	3.134508097
178	3.132107564
179	3.12893356
180	3.127465681
181	3.121364021
182	3.119628702
183	3.117081702
184	3.114111714
185	3.112026095
186	3.109826014
187	3.108393258
188	3.104755761
189	3.102388436
190	3.10008808
191	3.094867363
192	3.092152498
193	3.089692827
194	3.087822813
195	3.085981154
