iter	Passed	Remaining
0	242	727980
1	331	497636
2	433	432833
3	533	399886
4	633	379663
5	718	358294
6	809	346273
7	926	346489
8	1026	341160
9	1127	337076
10	1215	330282
11	1321	328991
12	1411	324253
13	1517	323689
14	1617	321895
15	1714	319739
16	1805	316763
17	1896	314179
18	1981	310849
19	2070	308561
20	2159	306354
21	2249	304542
22	2340	302992
23	2431	301479
24	2514	299214
25	2611	298668
26	2703	297738
27	2798	297041
28	2886	295669
29	2990	296011
30	3085	295527
31	3179	294877
32	3268	293886
33	3362	293353
34	3449	292184
35	3538	291340
36	3628	290588
37	3717	289766
38	3805	288921
39	3897	288381
40	3984	287574
41	4069	286632
42	4166	286536
43	4271	286978
44	4369	286961
45	4461	286504
46	4568	287017
47	4658	286470
48	4767	287106
49	4863	286921
50	4967	287228
51	5063	287081
52	5169	287453
53	5268	287428
54	5366	287351
55	5463	287218
56	5563	287256
57	5663	287286
58	5762	287258
59	5859	287108
60	5955	286916
61	6038	286153
62	6128	285694
63	6224	285559
64	6313	285084
65	6402	284609
66	6490	284131
67	6575	283527
68	6657	282802
69	6747	282416
70	6839	282133
71	6946	282480
72	7045	282475
73	7153	282870
74	7262	283220
75	7373	283697
76	7458	283140
77	7546	282699
78	7637	282389
79	7730	282153
80	7817	281728
81	7908	281429
82	7994	280953
83	8091	280878
84	8180	280545
85	8272	280300
86	8357	279822
87	8455	279799
88	8542	279404
89	8643	279459
90	8724	278902
91	8810	278493
92	8905	278384
93	8994	278058
94	9076	277564
95	9161	277145
96	9242	276617
97	9357	277094
98	9444	276751
99	9548	276902
100	9645	276849
101	9732	276531
102	9816	276094
103	9909	275953
104	10005	275852
105	10097	275674
106	10191	275549
107	10282	275336
108	10368	275006
109	10454	274667
110	10545	274469
111	10647	274544
112	10730	274157
113	10818	273869
114	10902	273498
115	10991	273278
116	11084	273136
117	11174	272919
118	11259	272593
119	11354	272502
120	11439	272190
121	11525	271893
122	11617	271739
123	11706	271508
124	11787	271119
125	11883	271060
126	11975	270900
127	12066	270731
128	12150	270419
129	12240	270229
130	12324	269914
131	12411	269675
132	12500	269466
133	12586	269200
134	12670	268900
135	12774	269007
136	12856	268671
137	12945	268475
138	13039	268384
139	13129	268206
140	13221	268094
141	13300	267705
142	13389	267499
143	13469	267142
144	13563	267070
145	13648	266791
146	13738	266644
147	13829	266494
148	13917	266302
149	13955	265153
150	14048	265059
151	14135	264853
152	14232	264827
153	14319	264632
154	14410	264510
155	14496	264276
156	14582	264057
157	14666	263804
158	14764	263802
159	14849	263582
160	14940	263454
161	15038	263456
162	15132	263381
163	15218	263160
164	15303	262944
165	15389	262732
166	15475	262533
167	15593	262869
168	15684	262733
169	15776	262634
170	15860	262400
171	15949	262243
172	16033	261998
173	16120	261824
174	16211	261696
175	16302	261587
176	16387	261369
177	16484	261341
178	16569	261130
179	16664	261073
180	16750	260884
181	16845	260830
182	16934	260676
183	17030	260639
184	17116	260443
185	17202	260252
186	17289	260076
187	17379	259949
188	17469	259830
189	17557	259668
190	17646	259529
191	17730	259314
192	17817	259136
193	17924	259252
194	18017	259171
195	18113	259126
196	18196	258909
197	18282	258731
198	18372	258592
199	18463	258494
200	18563	258501
201	18651	258345
202	18737	258176
203	18837	258189
204	18928	258067
205	19028	258083
206	19113	257899
207	19209	257852
208	19295	257676
209	19388	257591
210	19479	257480
211	19568	257339
212	19650	257119
213	19738	256973
214	19831	256892
215	19925	256814
216	20016	256703
217	20109	256626
218	20198	256495
219	20295	256457
220	20380	256271
221	20471	256165
222	20570	256167
223	20677	256248
224	20764	256091
225	20854	255971
226	20940	255808
227	21091	256428
228	21188	256389
229	21279	256275
230	21364	256100
231	21447	255894
232	21531	255703
233	21631	255691
234	21712	255466
235	21798	255297
236	21902	255348
237	21993	255236
238	22081	255089
239	22162	254869
240	22247	254697
241	22343	254647
242	22429	254480
243	22513	254290
244	22601	254154
245	22684	253956
246	22774	253839
247	22861	253685
248	22951	253571
249	23043	253475
250	23133	253360
251	23224	253256
252	23313	253133
253	23391	252888
254	23481	252776
255	23568	252625
256	23659	252526
257	23754	252464
258	23842	252320
259	23931	252196
260	24014	252013
261	24103	251888
262	24186	251709
263	24278	251611
264	24359	251408
265	24443	251239
266	24540	251193
267	24646	251242
268	24742	251197
269	24832	251084
270	24925	250998
271	25021	250951
272	25117	250896
273	25215	250867
