Event,QualiSegment,SessionMedianLap,CircuitName,Country,TrackType,LapSpeedClass,SpeedI1,SpeedI2,SpeedFL,SpeedST,TrackLength_m,NumCorners,CornerDensity,AvgCornerSpacing_m,AirTemp,TrackTemp,WindSpeed,Altitude_m,DRSZones
70th Anniversary Grand Prix,Q1,88.53999999999999,Silverstone,UK,Permanent,Fast,313.0,271.0,251.0,328.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,26.4,43.3,3.7,140.0,2.0
70th Anniversary Grand Prix,Q2,87.6845,Silverstone,UK,Permanent,Fast,313.0,271.0,251.0,328.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,26.4,43.3,3.7,140.0,2.0
70th Anniversary Grand Prix,Q3,86.896,Silverstone,UK,Permanent,Fast,313.0,271.0,251.0,328.0,5729.156782444218,18.0,0.003141823602237,308.38119142432896,26.4,43.3,3.7,140.0,2.0
Abu Dhabi Grand Prix,Q1,86.5,Yas Marina,UAE,Permanent,Medium,288.0,319.0,221.0,322.0,5333.449274375974,21.0,0.0039374144047628,246.1281100296099,25.7,29.9,1.5,10.0,2.0
Abu Dhabi Grand Prix,Q2,85.916,Yas Marina,UAE,Permanent,Medium,288.0,319.0,221.0,322.0,5333.449274375974,21.0,0.0039374144047628,246.1281100296099,25.7,29.9,1.5,10.0,2.0
Abu Dhabi Grand Prix,Q3,84.9345,Yas Marina,UAE,Permanent,Medium,288.0,319.0,221.0,322.0,5333.449274375974,21.0,0.0039374144047628,246.1281100296099,25.7,29.9,1.5,10.0,2.0
Australian Grand Prix,Q1,83.32050000000001,Albert Park,Australia,Street,Medium,280.0,295.0,303.0,316.0,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,18.8,29.0,1.2,31.0,2.0
Australian Grand Prix,Q2,82.532,Albert Park,Australia,Street,Medium,280.0,295.0,303.0,316.0,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,18.8,29.0,1.2,31.0,2.0
Australian Grand Prix,Q3,80.6465,Albert Park,Australia,Street,Medium,280.0,295.0,303.0,316.0,4843.53245567963,14.0,0.0028904523977295,343.1039358333313,18.8,29.0,1.2,31.0,2.0
Austrian Grand Prix,Q1,66.282,Red Bull Ring,Austria,Permanent,Fast,316.0,245.0,285.0,314.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,25.9,48.4,1.1,700.0,2.0
Austrian Grand Prix,Q2,65.6885,Red Bull Ring,Austria,Permanent,Fast,316.0,245.0,285.0,314.0,3999.68196710701,10.0,0.0025001987863632,391.8909347110944,25.9,48.4,1.1,700.0,2.0
