year,race,driver,real_time_seconds
2025,Australian Grand Prix,ALB,75.737
2025,Australian Grand Prix,ALO,76.288
2025,Australian Grand Prix,ANT,76.525
2025,Australian Grand Prix,BOR,76.516
2025,Australian Grand Prix,DOO,76.315
2025,Australian Grand Prix,GAS,75.98
2025,Australian Grand Prix,HAD,76.175
2025,Australian Grand Prix,HAM,75.919
2025,Australian Grand Prix,HUL,76.579
2025,Australian Grand Prix,LAW,77.094
2025,Australian Grand Prix,LEC,75.755
2025,Australian Grand Prix,NOR,75.096
2025,Australian Grand Prix,OCO,77.147
2025,Australian Grand Prix,PIA,75.18
2025,Australian Grand Prix,RUS,75.546
2025,Australian Grand Prix,SAI,75.931
2025,Australian Grand Prix,STR,76.369
2025,Australian Grand Prix,TSU,75.67
2025,Australian Grand Prix,VER,75.481
2025,Chinese Grand Prix,ALB,91.503
2025,Chinese Grand Prix,ALO,91.688
2025,Chinese Grand Prix,ANT,91.103
2025,Chinese Grand Prix,BEA,92.018
2025,Chinese Grand Prix,BOR,92.141
2025,Chinese Grand Prix,DOO,92.092
2025,Chinese Grand Prix,GAS,91.992
2025,Chinese Grand Prix,HAD,91.079
2025,Chinese Grand Prix,HAM,90.927
2025,Chinese Grand Prix,HUL,91.632
2025,Chinese Grand Prix,LAW,92.174
2025,Chinese Grand Prix,LEC,91.021
2025,Chinese Grand Prix,NOR,90.787
2025,Chinese Grand Prix,OCO,91.625
2025,Chinese Grand Prix,PIA,90.641
2025,Chinese Grand Prix,RUS,90.723
2025,Chinese Grand Prix,SAI,91.628
2025,Chinese Grand Prix,STR,91.773
2025,Chinese Grand Prix,TSU,91.238
2025,Chinese Grand Prix,VER,90.817
2025,Japanese Grand Prix,ALB,87.615
2025,Japanese Grand Prix,ALO,87.897
2025,Japanese Grand Prix,ANT,87.555
2025,Japanese Grand Prix,BEA,87.711
2025,Japanese Grand Prix,BOR,88.622
2025,Japanese Grand Prix,DOO,88.877
2025,Japanese Grand Prix,GAS,87.822
2025,Japanese Grand Prix,HAD,87.569
2025,Japanese Grand Prix,HAM,87.61
2025,Japanese Grand Prix,HUL,88.57
2025,Japanese Grand Prix,LAW,87.906
2025,Japanese Grand Prix,LEC,87.299
2025,Japanese Grand Prix,NOR,86.995
2025,Japanese Grand Prix,OCO,88.696
2025,Japanese Grand Prix,PIA,87.027
2025,Japanese Grand Prix,RUS,87.318
2025,Japanese Grand Prix,SAI,87.836
2025,Japanese Grand Prix,STR,89.271
2025,Japanese Grand Prix,TSU,87.967
2025,Japanese Grand Prix,VER,86.983
2025,Bahrain Grand Prix,ALB,92.04
2025,Bahrain Grand Prix,ALO,91.634
2025,Bahrain Grand Prix,ANT,90.213
2025,Bahrain Grand Prix,BEA,92.373
2025,Bahrain Grand Prix,BOR,92.186
2025,Bahrain Grand Prix,DOO,91.245
2025,Bahrain Grand Prix,GAS,90.216
2025,Bahrain Grand Prix,HAD,91.271
2025,Bahrain Grand Prix,HAM,90.772
2025,Bahrain Grand Prix,HUL,91.693
2025,Bahrain Grand Prix,LAW,92.165
2025,Bahrain Grand Prix,LEC,90.175
2025,Bahrain Grand Prix,NOR,90.267
2025,Bahrain Grand Prix,OCO,91.594
2025,Bahrain Grand Prix,PIA,89.841
2025,Bahrain Grand Prix,RUS,90.009
2025,Bahrain Grand Prix,SAI,90.68
2025,Bahrain Grand Prix,STR,92.283
2025,Bahrain Grand Prix,TSU,91.228
2025,Bahrain Grand Prix,VER,90.423
2025,Saudi Arabian Grand Prix,ALB,88.109
2025,Saudi Arabian Grand Prix,ALO,88.303
2025,Saudi Arabian Grand Prix,ANT,87.798
2025,Saudi Arabian Grand Prix,BEA,88.536
2025,Saudi Arabian Grand Prix,BOR,89.462
2025,Saudi Arabian Grand Prix,DOO,88.739
2025,Saudi Arabian Grand Prix,GAS,88.025
2025,Saudi Arabian Grand Prix,HAD,88.418
2025,Saudi Arabian Grand Prix,HAM,88.102
2025,Saudi Arabian Grand Prix,HUL,88.782
2025,Saudi Arabian Grand Prix,LAW,88.191
2025,Saudi Arabian Grand Prix,LEC,87.67
2025,Saudi Arabian Grand Prix,NOR,87.481
2025,Saudi Arabian Grand Prix,OCO,89.092
2025,Saudi Arabian Grand Prix,PIA,87.304
2025,Saudi Arabian Grand Prix,RUS,87.407
2025,Saudi Arabian Grand Prix,SAI,88.024
